File_Name,Genotype,Replicate,Germarium,Category,Positive_Structures
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_005_xyadjusted_labelings.tif,WT,3,5,ptyr_vsg,35
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_001_xyadjusted_labelings.tif,WT,3,1,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_002_xyadjusted_labelings.tif,WT,3,2,ptyr_pav,1
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_003_labelings.tif,WT,3,3,ptyr_pav,1
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_004_xyadjusted_labelings.tif,WT,3,4,ptyr_pav,1
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_005_xyadjusted_labelings.tif,WT,3,5,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_001_xyadjusted_labelings.tif,WT,3,1,ptyr_pav_vsg,4
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_002_xyadjusted_labelings.tif,WT,3,2,ptyr_pav_vsg,2
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_003_labelings.tif,WT,3,3,ptyr_pav_vsg,3
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_004_xyadjusted_labelings.tif,WT,3,4,ptyr_pav_vsg,1
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_005_xyadjusted_labelings.tif,WT,3,5,ptyr_pav_vsg,2
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_001_xyadjusted_labelings.tif,WT,3,1,vsg,11
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_002_xyadjusted_labelings.tif,WT,3,2,vsg,17
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_003_labelings.tif,WT,3,3,vsg,8
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_004_xyadjusted_labelings.tif,WT,3,4,vsg,14
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_005_xyadjusted_labelings.tif,WT,3,5,vsg,8
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_001_xyadjusted_labelings.tif,WT,3,1,pav,13
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_002_xyadjusted_labelings.tif,WT,3,2,pav,14
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_003_labelings.tif,WT,3,3,pav,9
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_004_xyadjusted_labelings.tif,WT,3,4,pav,23
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_005_xyadjusted_labelings.tif,WT,3,5,pav,15
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_001_xyadjusted_labelings.tif,WT,3,1,pav_vsg,20
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_002_xyadjusted_labelings.tif,WT,3,2,pav_vsg,25
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_003_labelings.tif,WT,3,3,pav_vsg,8
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_004_xyadjusted_labelings.tif,WT,3,4,pav_vsg,14
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_005_xyadjusted_labelings.tif,WT,3,5,pav_vsg,8
